sample_name	condition
SRR566221_GSM999654_Subject1_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566222_GSM999654_Subject1_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566223_GSM999655_Subject1_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566224_GSM999655_Subject1_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566225_GSM999656_Subject2_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566226_GSM999656_Subject2_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566227_GSM999657_Subject2_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566228_GSM999657_Subject2_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566229_GSM999658_Subject3_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566230_GSM999658_Subject3_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566232_GSM999659_Subject3_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566233_GSM999660_Subject4_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566234_GSM999660_Subject4_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566235_GSM999661_Subject4_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566236_GSM999661_Subject4_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566237_GSM999662_Subject5_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566238_GSM999662_Subject5_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566239_GSM999663_Subject5_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566240_GSM999663_Subject5_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566241_GSM999664_Subject6_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566242_GSM999664_Subject6_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566244_GSM999665_Subject6_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566245_GSM999666_Subject7_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566246_GSM999666_Subject7_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566247_GSM999667_Subject7_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566248_GSM999667_Subject7_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566249_GSM999668_Subject8_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566250_GSM999668_Subject8_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566251_GSM999669_Subject8_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566253_GSM999670_Subject9_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566254_GSM999670_Subject9_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566255_GSM999671_Subject9_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566256_GSM999671_Subject9_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566257_GSM999672_Subject10_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566258_GSM999672_Subject10_Mock_Homo_sapiens_RNA-Seq	Mock
SRR566259_GSM999673_Subject10_WNV_Homo_sapiens_RNA-Seq	WNV
SRR566260_GSM999673_Subject10_WNV_Homo_sapiens_RNA-Seq	WNV
